state,year,month,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
Alabama,2020,12,7.9862179487179485,-4.6,19.2,9.94198717948718,0.4,24.5,72.22435897435898,33,100
Alabama,2021,1,8.265860215053763,-2.8,22.8,10.719086021505376,0.4,26.4,74.00806451612904,27,100
Alabama,2021,2,8.530357142857142,-9.1,25.2,11.742261904761905,0.4,26.5,73.68005952380952,20,100
Alabama,2021,3,15.13266129032258,3.1,26.5,11.873521505376344,1.3,30.3,71.81048387096774,29,100
Alabama,2021,4,16.456944444444446,1.4,28.5,9.735555555555557,0.5,39.0,64.5625,28,100
Alabama,2021,5,21.128225806451614,9.8,32.3,10.413575268817205,0.5,24.8,66.7513440860215,26,100
Alabama,2021,6,24.65083333333333,17.9,33.5,9.21875,0.8,30.8,78.11944444444444,32,100
Alabama,2021,7,25.723118279569892,18.0,35.3,6.764247311827957,1.1,22.1,82.58467741935483,30,100
Alabama,2021,8,26.398655913978494,19.6,33.8,7.872715053763441,0.5,27.2,78.25806451612904,40,100
Alabama,2021,9,23.07875,12.1,31.9,7.669166666666667,0.4,19.3,79.02638888888889,33,100
Alabama,2021,10,19.631048387096776,9.8,29.9,9.464112903225807,1.8,25.8,75.69354838709677,34,100
Alabama,2021,11,11.551805555555555,0.6,23.1,9.815694444444444,0.5,23.5,67.96805555555555,27,100
Alabama,2021,12,13.903763440860214,0.7,25.0,10.914112903225806,1.5,28.5,83.04032258064517,37,100
Alabama,2022,1,6.460215053763441,-4.8,25.8,11.915456989247312,1.1,33.9,71.26747311827957,30,100
Alabama,2022,2,10.248660714285714,-3.2,24.9,11.759672619047619,0.8,32.3,70.12797619047619,29,100
Alabama,2022,3,13.894086021505377,-4.4,26.6,11.368548387096775,0.8,32.2,65.94489247311827,27,100
Alabama,2022,4,17.325277777777778,3.4,29.5,11.641388888888887,1.1,26.5,65.19583333333334,19,100
Alabama,2022,5,23.08010752688172,11.8,34.2,9.816801075268817,0.4,30.9,70.77284946236558,25,100
Alabama,2022,6,26.696805555555557,18.4,37.0,7.310833333333334,0.4,16.4,70.84444444444445,28,100
Alabama,2022,7,26.88978494623656,20.2,35.9,6.723387096774193,0.7,21.3,79.26881720430107,35,100
Alabama,2022,8,25.93467741935484,20.4,36.3,6.320698924731183,0.0,17.7,78.44623655913979,28,100
Alabama,2022,9,23.536805555555556,11.5,35.5,9.005416666666665,0.8,21.2,67.39027777777778,22,100
Alabama,2022,10,16.90994623655914,1.8,28.4,10.039381720430107,0.4,25.9,62.05107526881721,28,100
Alabama,2022,11,13.54361111111111,-1.5,28.4,10.891666666666667,0.7,27.7,71.63888888888889,33,100
Alabama,2022,12,10.04260752688172,-11.1,25.0,10.815591397849463,0.7,30.6,74.10349462365592,18,100
Alabama,2023,1,11.044758064516127,-1.8,21.8,11.223655913978494,1.1,27.0,76.34811827956989,31,100
Alabama,2023,2,13.698660714285714,-2.0,26.1,12.494791666666666,2.6,32.4,76.14583333333333,30,100
Alabama,2023,3,14.830645161290322,-3.0,27.6,11.531989247311827,1.1,31.3,67.22983870967742,33,100
Alabama,2023,4,17.835694444444446,7.8,29.4,11.536944444444446,0.7,31.3,65.225,22,100
Alabama,2023,5,21.547043010752688,9.2,33.3,9.513844086021505,0.5,23.9,68.95295698924731,24,100
Alabama,2023,6,25.071527777777778,18.5,35.4,7.918611111111111,0.0,19.2,69.68333333333334,21,100
Alabama,2023,7,26.998521505376345,20.0,36.8,6.470430107526882,0.4,22.1,76.3239247311828,35,100
Alabama,2023,8,27.763037634408605,18.6,37.7,7.405645161290323,0.4,20.2,71.70161290322581,31,100
Alabama,2023,9,24.639444444444447,15.6,33.7,8.23875,0.5,19.2,66.55,31,100
