state,date,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
Alabama,2025-12-22,13.6875,11.0,17.5,12.829166666666666,8.9,17.4,60.458333333333336,42,81
Alabama,2025-12-23,16.479166666666668,11.9,22.0,9.120833333333334,3.9,13.6,51.666666666666664,39,70
Alabama,2025-12-24,15.770833333333334,10.1,24.2,4.741666666666666,2.4,6.9,77.41666666666667,51,97
Alabama,2025-12-25,16.716666666666665,11.9,23.4,8.004166666666666,4.8,13.0,84.29166666666667,56,100
Alaska,2025-12-22,-25.829166666666666,-27.1,-23.9,5.483333333333333,4.1,6.7,28.333333333333332,20,33
Alaska,2025-12-23,-24.224999999999998,-26.0,-21.1,7.2375,5.7,9.6,80.83333333333333,43,99
Alaska,2025-12-24,-17.664583333333333,-20.3,-15.9,6.6375,5.0,7.8,78.91666666666667,36,99
Alaska,2025-12-25,-27.15416666666667,-30.8,-21.0,7.579166666666667,5.1,9.7,59.625,19,94
Arizona,2025-12-22,14.241666666666667,6.9,21.9,3.6,0.0,7.8,32.041666666666664,17,51
Arizona,2025-12-23,14.608333333333334,8.7,21.9,4.891666666666667,1.3,13.0,26.458333333333332,16,36
Arizona,2025-12-24,13.049999999999999,10.2,18.5,5.714583333333334,1.8,9.9,68.27083333333333,22,97
Arizona,2025-12-25,12.408333333333333,11.0,14.6,4.0375000000000005,1.8,6.0,86.29166666666667,75,99
Arkansas,2025-12-22,9.8125,6.9,15.5,8.429166666666667,2.4,12.6,56.041666666666664,38,86
Arkansas,2025-12-23,17.2375,12.0,24.8,11.237499999999999,6.4,18.8,89.95833333333333,62,100
Arkansas,2025-12-24,18.645833333333332,13.8,25.5,11.279166666666667,5.2,18.2,85.75,55,99
Arkansas,2025-12-25,18.570833333333333,15.4,23.3,13.129166666666668,9.8,17.9,86.625,64,99
California,2025-12-22,12.908333333333333,8.8,19.6,3.9458333333333333,0.9,9.0,89.33333333333333,67,100
California,2025-12-23,12.979166666666666,9.6,21.2,4.908333333333333,2.5,13.2,88.95833333333333,50,100
California,2025-12-24,17.064583333333335,14.4,20.1,20.070833333333333,0.9,33.5,70.14583333333333,46,94
California,2025-12-25,14.483333333333334,12.7,17.7,18.349999999999998,10.7,23.8,70.33333333333333,50,87
Colorado,2025-12-22,2.9458333333333333,-2.6,11.3,16.258333333333333,11.9,23.4,58.833333333333336,23,83
Colorado,2025-12-23,0.07083333333333329,-6.2,10.7,8.904166666666667,4.8,12.4,48.916666666666664,22,72
Colorado,2025-12-24,0.6124999999999999,-5.9,10.9,10.629166666666666,5.3,18.9,52.6875,32,75
Colorado,2025-12-25,1.4791666666666667,-3.4,9.7,12.991666666666667,7.7,22.0,72.91666666666667,39,91
Connecticut,2025-12-22,-1.3375000000000001,-4.4,2.5,10.920833333333334,5.7,14.9,50.833333333333336,41,66
Connecticut,2025-12-23,0.7791666666666667,-0.8,2.5,10.233333333333333,5.9,14.8,75.58333333333333,58,98
Connecticut,2025-12-24,2.8312500000000003,-1.1,5.2,16.23125,4.2,30.3,74.16666666666667,48,99
Connecticut,2025-12-25,-0.4583333333333333,-3.7,5.8,10.4375,1.1,21.2,73.375,49,89
Delaware,2025-12-22,0.06666666666666664,-3.7,4.1,11.125,5.2,21.0,53.416666666666664,37,67
