state,year,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
Alabama,2020,7.9862179487179485,-4.6,19.2,9.94198717948718,0.4,24.5,72.22435897435898,33,100
Alabama,2021,17.936118721461188,-9.1,35.3,9.672933789954337,0.4,39.0,74.65719178082192,20,100
Alabama,2022,17.916689497716895,-11.1,37.0,9.78560502283105,0.0,33.9,70.61141552511415,18,100
Alabama,2023,18.795308219178082,-3.0,37.7,9.795262557077626,0.0,32.4,70.20867579908676,21,100
Alabama,2024,18.746937613843354,-9.3,36.5,10.147859744990892,0.0,35.2,70.54883879781421,18,100
Alabama,2025,18.239330543933054,-11.1,35.8,9.682130404463042,0.0,40.4,71.69357275685728,13,100
Alaska,2020,-15.141666666666666,-19.2,-11.7,4.291025641025641,0.5,12.2,81.90384615384616,27,99
Alaska,2021,-12.096141552511416,-34.3,7.4,3.6662100456621003,0.0,19.8,77.81289954337899,3,100
Alaska,2022,-10.937842465753425,-36.5,3.9,3.7793835616438356,0.0,20.6,78.35262557077625,4,100
Alaska,2023,-11.561369863013699,-29.4,5.0,3.915091324200913,0.0,16.3,80.01849315068493,3,100
Alaska,2024,-11.327447632058288,-33.7,7.7,4.802777777777778,0.0,21.8,79.51684881602914,4,100
Alaska,2025,-11.529207345420735,-37.4,2.8,4.48016620176662,0.0,22.5,83.60826359832636,8,100
Arizona,2020,6.746153846153847,-2.1,16.0,6.952564102564102,0.8,25.2,40.1474358974359,13,92
Arizona,2021,17.378162100456624,-5.2,40.9,7.160662100456621,0.0,26.9,42.14805936073059,3,100
Arizona,2022,16.823801369863013,-7.9,38.8,7.366392694063927,0.0,26.9,42.79189497716895,4,100
Arizona,2023,17.044497716894977,-7.1,40.0,7.522625570776255,0.0,33.0,40.132990867579906,3,100
Arizona,2024,17.651457194899816,-8.7,42.1,6.74867941712204,0.0,31.4,38.970856102003644,4,100
Arizona,2025,18.26285448628545,-3.9,40.3,6.536483031148303,0.0,28.3,36.71106462110646,4,100
Arkansas,2020,6.6737179487179485,-4.4,17.4,12.436858974358975,5.9,26.9,76.08653846153847,31,100
Arkansas,2021,17.114440639269407,-19.9,37.8,9.514748858447488,0.0,30.8,72.02728310502283,28,100
Arkansas,2022,16.933059360730596,-15.2,39.3,9.627157534246574,0.0,34.4,67.70285388127854,15,100
Arkansas,2023,17.876735159817354,-3.8,39.5,9.188607305936072,0.0,37.3,70.37865296803653,22,100
Arkansas,2024,17.728620218579238,-13.1,36.5,9.536896630236795,0.0,34.6,72.08048724954463,15,100
Arkansas,2025,17.805933286843327,-12.4,38.9,9.845159228265922,0.0,38.6,68.98890051139006,15,100
California,2020,8.683653846153847,0.9,18.4,6.348397435897436,0.0,14.2,75.82051282051282,29,100
California,2021,19.866609589041097,-0.2,47.8,7.117728310502283,0.0,31.0,46.25536529680365,6,100
California,2022,19.808584474885848,-1.6,47.7,7.3568493150684935,0.0,25.9,45.45,4,100
California,2023,18.79722602739726,-1.1,46.8,7.137534246575343,0.0,35.2,51.489155251141554,6,100
California,2024,19.86690573770492,-1.3,49.3,6.824806466302368,0.0,38.2,50.74168943533698,5,100
California,2025,19.531979311947932,-1.2,43.3,6.9143537889353786,0.0,33.5,52.717747559274756,6,100
Colorado,2020,-10.596153846153847,-24.0,2.8,9.569230769230769,2.3,21.0,66.87179487179488,42,99
Colorado,2021,4.123767123287671,-29.6,30.2,10.608550228310502,0.4,55.5,56.0662100456621,4,100
Colorado,2022,3.3074315068493148,-32.5,30.0,10.77675799086758,0.0,41.6,55.83550228310502,4,100
Colorado,2023,2.7664840182648405,-28.6,30.7,9.99021689497717,0.0,38.9,59.93470319634703,6,100
Colorado,2024,3.564537795992714,-30.8,31.1,9.999123406193078,0.0,44.3,57.64936247723133,6,100
Colorado,2025,4.675017433751743,-36.1,29.1,9.415074384007438,0.0,41.9,57.02086238958624,7,100
Connecticut,2020,1.5192307692307692,-5.2,15.1,13.619230769230768,2.5,36.5,68.46794871794872,33,100
Connecticut,2021,11.302397260273972,-14.2,36.2,10.295764840182647,0.0,35.2,72.59006849315068,17,100
Connecticut,2022,11.284840182648402,-20.3,36.6,10.894006849315069,0.0,39.3,68.89063926940639,12,100
Connecticut,2023,11.63049086757991,-21.5,35.5,9.803036529680366,0.0,39.4,73.62431506849315,10,100
Connecticut,2024,11.581102003642986,-13.6,33.8,10.01311475409836,0.0,36.5,70.65380236794171,17,100
Connecticut,2025,10.884722222222221,-19.5,35.2,10.764737331473734,0.0,48.1,70.49808228730822,22,100
Delaware,2020,3.067948717948718,-4.8,15.6,17.58974358974359,1.1,48.1,66.54166666666667,40,97
Delaware,2021,14.34950913242009,-7.8,34.3,14.014554794520548,0.0,46.0,71.05810502283104,25,100
Delaware,2022,13.694417808219178,-13.1,34.5,14.634737442922376,0.4,54.8,71.11803652968037,21,100
Delaware,2023,14.717477168949772,-8.4,36.6,13.75579908675799,0.0,46.7,69.59497716894977,23,100
Delaware,2024,14.718283242258652,-9.1,35.8,13.9625,0.0,51.9,68.7268897996357,18,100
Delaware,2025,13.640086006508602,-10.8,35.6,14.95929218967922,0.2,53.5,69.50034867503487,22,100
District of Columbia,2020,2.0387820512820514,-6.4,14.9,12.95576923076923,1.3,25.8,63.87179487179487,35,96
District of Columbia,2021,14.27816210045662,-8.1,35.8,10.43093607305936,0.0,34.6,69.15673515981734,21,100
District of Columbia,2022,13.59291095890411,-14.2,35.4,10.71214611872146,0.0,38.8,69.24383561643836,16,100
District of Columbia,2023,14.539634703196347,-9.1,38.2,10.327385844748857,0.0,38.2,68.19954337899543,18,100
District of Columbia,2024,14.410063752276868,-10.9,36.7,10.251218123861566,0.0,38.0,70.58970856102003,25,100
District of Columbia,2025,13.922117619711761,-14.5,39.7,10.157723152022315,0.0,39.7,68.05665969316597,18,100
Florida,2020,14.565064102564103,3.2,26.0,11.966025641025642,4.3,24.4,72.21153846153847,42,95
Florida,2021,22.80730593607306,1.8,36.3,9.878173515981736,0.0,33.2,76.45251141552511,16,100
Florida,2022,22.748150684931506,-1.0,36.3,9.957328767123288,0.0,74.7,76.21940639269407,12,100
Florida,2023,23.303755707762555,2.7,36.3,10.381723744292238,0.0,38.0,74.40034246575343,20,100
Florida,2024,22.629291894353372,3.8,36.5,10.596778233151184,0.0,64.1,77.39162112932604,21,100
Florida,2025,22.348082287308227,3.2,34.8,9.782856810785681,0.0,36.7,77.66602742910274,21,100
Georgia,2020,6.647435897435898,-4.6,16.9,8.713461538461539,1.9,22.8,72.57051282051282,30,100
Georgia,2021,17.96953196347032,-4.7,36.2,9.348835616438356,0.0,29.9,72.1109589041096,16,100
Georgia,2022,17.818778538812786,-11.8,38.0,9.643972602739726,0.4,33.1,70.28367579908675,8,100
Georgia,2023,18.399509132420093,-2.8,38.0,9.699874429223744,0.0,37.5,70.02671232876712,17,100
Georgia,2024,18.427231329690343,-8.3,37.2,9.987841530054645,0.2,37.6,69.2372495446266,16,100
Georgia,2025,18.14220130172013,-8.8,37.5,9.737988145048813,0.0,33.0,68.814039981404,17,100
Hawaii,2020,24.70929487179487,22.5,26.0,23.668589743589745,2.4,50.0,73.58974358974359,50,88
Hawaii,2021,24.52033105022831,20.4,27.6,25.476198630136988,0.0,56.7,75.3681506849315,43,91
Hawaii,2022,24.837374429223743,20.1,28.5,21.95300228310502,0.0,54.1,74.59760273972603,50,91
Hawaii,2023,24.817317351598174,21.0,27.9,23.59931506849315,0.0,55.2,74.80422374429224,50,91
Hawaii,2024,24.674988615664844,19.9,27.9,26.21424180327869,0.0,60.1,74.80510018214936,49,92
Hawaii,2025,25.138232217573222,20.9,27.9,23.403736634123664,0.2,51.6,73.80096466759646,50,92
Idaho,2020,-8.35352564102564,-20.0,0.4,5.300320512820513,0.5,10.5,70.8525641025641,34,93
Idaho,2021,5.2008904109589045,-23.3,32.8,6.742990867579908,0.0,27.4,62.392922374429226,9,100
Idaho,2022,3.9248858447488586,-25.8,32.6,6.751643835616439,0.0,24.5,63.269520547945206,7,100
Idaho,2023,3.974474885844749,-24.5,32.9,5.861495433789954,0.0,22.9,67.6154109589041,10,100
Idaho,2024,5.249897540983606,-29.5,33.3,6.826571038251366,0.0,27.2,62.18841074681239,9,100
Idaho,2025,6.942090887959089,-29.7,32.1,6.716416782891678,0.0,31.7,60.70519525801953,6,100
Illinois,2020,-2.201923076923077,-13.4,9.3,15.726923076923077,3.9,32.1,65.94551282051282,31,98
Illinois,2021,12.000022831050227,-24.9,34.5,14.125730593607305,0.0,46.4,71.1417808219178,17,100
Illinois,2022,11.158116438356165,-23.3,34.5,15.1475,0.0,45.6,67.10125570776256,20,100
Illinois,2023,12.623687214611872,-14.5,35.5,13.884988584474886,0.4,49.8,67.25125570776255,15,100
